feature,importance
bsClickrate@aid_x_interest2_q100,295
bsClickrate@advertiserId_x_interest1_q0,216
bsClickrate@creativeSize_x_interest2_q100,199
bsClickrate@aid_x_interest5_q0,197
impression@creativeSize_x_interest2_mean,183
bsClickrate@advertiserId_x_interest1_q100,179
bsClickrate@productType_x_kw2_q100,164
bsClickrate@aid_x_interest5_q100,162
bsClickrate@productType_x_kw2_mean,152
bsClickrate_weighted_avg@productType_x_kw2,145
max_bsClickrate_impression@productType_x_kw2,144
bsClickrate_weighted_avg@productType_x_kw1,139
bsClickrate_weighted_avg@aid_x_topic2,132
bsClickrate@aid_x_interest5_mean,131
bsClickrate@aid_x_topic2_mean,122
impression@campaignId_x_interest4_mean,120
bsClickrate@productType_x_kw2_q0,119
impression@creativeSize_x_interest2_std,114
bsClickrate@aid_x_interest2_q0,111
bsClickrate@aid_x_ct_q100,109
bsClickrate@aid_x_interest5_q25,109
bsClickrate@advertiserId_x_interest1_std,108
max_bsClickrate_impression@creativeSize_x_interest2,108
bsClickrate@productType_x_kw2_q50,107
bsClickrate@advertiserId_x_interest1_q25,106
bsClickrate@aid_x_topic2_q0,100
bsClickrate@advertiserId_x_interest1_q75,100
impression@advertiserId_x_interest1_mean,99
bsClickrate@aid_x_topic2_q50,94
bsClickrate@creativeSize_x_interest2_q0,93
impression@productType_x_kw3_mean,93
bsClickrate@aid_x_os_q0,92
bsClickrate@aid_x_topic2_q100,90
bsClickrate@productType_x_kw2_q75,89
impression@aid_x_ct_std,86
impression@productType_x_topic1_std,85
bsClickrate@aid_x_interest2_q25,84
min_bsClickrate_impression@productType_x_topic2,82
min_bsClickrate_impression@aid_x_interest5,81
min_bsClickrate_impression@productType_x_kw2,79
bsClickrate@aid_x_ct_std,77
bsClickrate@advertiserId_x_interest1_mean,75
bsClickrate_weighted_avg@advertiserId_x_interest1,75
max_bsClickrate_impression@aid_x_interest5,74
bsClickrate@productType_x_kw2_std,73
bsClickrate@aid_x_interest5_std,73
max_bsClickrate_impression@aid_x_topic2,73
impression@advertiserId_x_interest1_std,71
bsClickrate@productType_x_kw1_mean,70
impression@productType_x_kw2_std,69
bsClickrate@aid_x_interest2_q50,69
min_bsClickrate_impression@advertiserId_x_interest1,69
impression@productType_x_topic2_mean,68
impression@aid_x_interest5_mean,68
bsClickrate@productType_x_kw2_q25,68
impression@productType_x_topic2_std,68
bsClickrate@aid_x_interest5_q75,67
bsClickrate@advertiserId_x_interest1_q50,67
max_bsClickrate_impression@productType_x_topic2,66
bsClickrate@campaignId_x_interest4_q0,66
bsClickrate@aid_x_topic2_q25,66
bsClickrate@productType_x_topic2_q50,65
max_bsClickrate_impression@productType_x_kw1,65
bsClickrate_weighted_avg@aid_x_interest5,65
bsClickrate@aid_x_topic2_q75,65
max_bsClickrate_impression@aid_x_ct,63
bsClickrate@productType_x_topic2_q25,63
bsClickrate@productType_x_topic2_q0,63
max_bsClickrate_impression@advertiserId_x_interest1,61
bsClickrate@aid_x_ct_q0,61
impression@productType_x_kw1_mean,61
impression@aid_x_topic2_mean,60
bsClickrate@creativeSize_x_interest2_std,59
bsClickrate@productType_x_kw1_q0,59
impression@productType_x_topic1_mean,59
impression@aid_x_interest2_std,58
bsClickrate@aid_x_interest2_std,58
bsClickrate@productType_x_topic1_mean,58
bsClickrate@creativeSize_x_interest2_q75,57
bsClickrate@productType_x_topic2_std,56
bsClickrate@aid_x_interest2_mean,56
bsClickrate@aid_x_os_q100,55
bsClickrate@productType_x_topic1_q100,54
min_bsClickrate_impression@productType_x_topic1,54
bsClickrate@aid_x_ct_q75,54
max_bsClickrate_impression@aid_x_interest2,54
impression@productType_x_kw1_std,53
bsClickrate@productType_x_kw1_q25,53
min_bsClickrate_impression@aid_x_interest2,53
impression@productType_x_kw2_mean,53
impression@aid_x_interest5_std,52
bsClickrate@creativeSize_x_interest2_q25,52
bsClickrate@productType_x_kw1_q75,51
bsClickrate@productType_x_kw3_q0,51
impression@aid_x_topic2_std,51
min_bsClickrate_impression@aid_x_topic2,51
impression@aid_x_interest2_mean,50
max_bsClickrate_impression@productType_x_topic1,50
bsClickrate_weighted_avg@productType_x_topic1,49
bsClickrate@productType_x_topic1_q25,49
bsClickrate@productType_x_kw1_q100,48
bsClickrate@productType_x_topic2_q75,48
min_bsClickrate_impression@creativeSize_x_interest2,47
bsClickrate_weighted_avg@productType_x_topic2,47
bsClickrate@aid_x_interest5_q50,45
min_bsClickrate_impression@aid_x_ct,45
bsClickrate@productType_x_topic2_q100,44
bsClickrate@aid_x_interest2_q75,44
bsClickrate@productType_x_kw1_q50,43
bsClickrate@productType_x_topic1_q75,42
bsClickrate@productType_x_topic1_q50,41
bsClickrate@productType_x_topic2_mean,41
bsClickrate@aid_x_topic2_std,41
bsClickrate@productType_x_topic1_q0,40
bsClickrate@aid_x_ct_q50,40
bsClickrate@aid_x_ct_q25,39
impression@aid_x_ct_mean,39
bsClickrate@campaignId_x_interest4_q25,37
bsClickrate@creativeSize_x_interest2_q50,36
min_bsClickrate_impression@productType_x_kw1,35
bsClickrate_weighted_avg@creativeSize_x_interest2,35
bsClickrate_weighted_avg@aid_x_interest2,35
bsClickrate@productType_x_topic1_std,34
bsClickrate@productType_x_kw1_std,33
bsClickrate@campaignId_x_interest4_q50,33
bsClickrate@campaignId_x_interest4_q75,31
bsClickrate@campaignId_x_interest4_q100,29
bsClickrate@aid_x_os_q50,27
min_bsClickrate_impression@aid_x_os,27
bsClickrate@productType_x_kw3_q25,26
impression@productType_x_kw3_std,26
bsClickrate@productType_x_kw3_mean,25
bsClickrate_weighted_avg@aid_x_ct,25
bsClickrate@aid_x_os_q75,24
bsClickrate@creativeSize_x_interest2_mean,20
bsClickrate@aid_x_os_q25,20
bsClickrate@aid_x_ct_mean,20
max_bsClickrate_impression@aid_x_os,19
bsClickrate@aid_x_os_std,17
bsClickrate@productType_x_kw3_q50,16
max_bsClickrate_impression@campaignId_x_interest4,16
impression@aid_x_os_mean,16
impression@aid_x_os_std,15
bsClickrate_weighted_avg@campaignId_x_interest4,15
bsClickrate@productType_x_kw3_q75,15
bsClickrate@campaignId_x_interest4_mean,14
bsClickrate_weighted_avg@aid_x_os,14
bsClickrate@productType_x_kw3_q100,13
bsClickrate_weighted_avg@productType_x_kw3,12
min_bsClickrate_impression@productType_x_kw3,12
min_bsClickrate_impression@campaignId_x_interest4,11
max_bsClickrate_impression@productType_x_kw3,9
bsClickrate@aid_x_os_mean,5
impression@campaignId_x_interest4_std,5
bsClickrate@productType_x_kw3_std,5
bsClickrate@campaignId_x_interest4_std,2
